"school","district","county","ls_district","p_district","ls_county","p_county","borough","ls_bor","p_bor","n_ela","min_ela","max_ela","z_ela","n_math","min_math","max_math","z_math","n_both","min_both","max_both","z_both"
"ACADEMY OF THE CITY CHARTER SCHOOL","30","NYC",0.0205198440825978,0.0100933202357564,0.148893768555189,0.000669368025380612,"Queens",0.0943295598683921,0.00149949651941684,229,"3","5",0.705223318976592,226,"3","5",1.04392001613446,455,"3","5",0.873455085037424
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","13","NYC",0.209898530551231,0.0265913056672483,0.35192110477328,0.00114167149827691,"Brooklyn",0.246580297164494,0.00228370005016973,494,"3","8",1.15702421640412,464,"3","8",1.21459482067819,958,"3","8",1.18490809989385
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","15","NYC",0.0582791031138893,0.0232852366177667,0.287563027935397,0.0012589330501684,"Brooklyn",0.313199934063804,0.00251825982707732,308,"6","8",0.758344132031597,305,"6","8",0.941771398693203,613,"6","8",0.849608922132396
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","15","NYC",0.223920225294879,0.00861523631653463,0.111570596581528,0.000465788942235657,"Brooklyn",0.153662602350256,0.000931723558271816,241,"6","8",0.113443536109177,212,"6","8",-0.204242707169109,453,"6","8",-0.0352308205685199
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","24","NYC",0.122911880296772,0.00746759596749818,0.193175251240869,0.000684025719367048,"Queens",0.196562513469812,0.00153233220962305,412,"5","8",1.15153929044821,412,"5","8",1.2728340101866,824,"5","8",1.21218665031741
"COMMUNITY ROOTS CHARTER SCHOOL","13","NYC",0.317580720177886,0.017942492982323,0.397544558106559,0.000770343250620509,"Brooklyn",0.308551306198196,0.0015409274232957,279,"3","8",0.821602050914301,277,"3","8",0.556546995771856,556,"3","8",0.689551241068155
"COMPASS CHARTER SCHOOL","13","NYC",0.31969010489871,0.0113800166906911,0.460660328850668,0.000488589799547892,"Brooklyn",0.343075825519148,0.000977332403781625,115,"3","5",-0.342499169607164,113,"3","5",-0.443864119063941,228,"3","5",-0.3927370612239
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","3","NYC",0.123041569311092,0.0190380761523046,0.144094225850365,0.000804544536588861,"Manhattan",0.15298074769262,0.0030263673789453,280,"3","6",-0.13997482936744,277,"3","6",-0.318747238006974,557,"3","6",-0.228879599911696
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","22","NYC",0.258142521886425,0.0201122936394871,0.602310871357613,0.00117261551891494,"Brooklyn",0.386829132182244,0.0023455977690759,427,"3","8",0.144754560441497,405,"3","8",0.335657929363112,832,"3","8",0.237682282092042
"HELLENIC CLASSICAL CHARTER SCHOOL","15","NYC",0.0894929994565696,0.0143687682621924,0.169547638485991,0.000776857781281148,"Brooklyn",0.26206023235027,0.00155395852201278,317,"3","8",1.04252277714386,317,"3","8",1.68244698610885,634,"3","8",1.36248488162636
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","13","NYC",0.231325577295818,0.0130111524163569,0.316514227909968,0.000558621004149756,"Brooklyn",0.244762326748113,0.00111741671499032,96,"3","4",-0.0652827053394997,94,"3","4",0.341284189037153,190,"3","4",0.13586091608895
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","3","NYC",0.321869225595805,0.0108678896254047,0.339641443494651,0.000459274411575018,"Manhattan",0.40531670631143,0.0017276024308959,146,"3","6",0.265768187353943,145,"3","6",-0.00694144303816219,291,"3","6",0.129881945405987
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","14","NYC",0.424988245780766,0.0366937041328698,0.402553977858412,0.00123776082552133,"Brooklyn",0.321639373444379,0.00247590875624678,454,"3","8",1.97460470301467,409,"3","7",2.46773867646668,863,"3","8",2.20831477849772
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","21","NYC",0.159239161741229,0.014259649122807,0.623278666400777,0.000827345393901096,"Brooklyn",0.4919156600845,0.00165494953707022,160,"3","4",2.25806150474574,162,"3","4",3.17762006787317,322,"3","4",2.72069655824463
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","8","NYC",0.114236410286424,0.0179866741064102,0.204614531497421,0.000892490700507482,"Bronx",0.0824255470744963,0.00258227466355034,172,"3","4",1.77490150872978,172,"3","4",2.20520547011234,344,"3","4",1.99005348942106
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","29","NYC",0.174363705221115,0.016090430428219,0.86322005692502,0.000711712474674762,"Queens",1.23735349116438,0.00159435518001255,163,"3","4",2.16703988057857,162,"3","4",2.55603656297487,325,"3","4",2.36093976534226
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","29","NYC",0.198918687655586,0.023675393055709,0.916787251538949,0.00104721080369765,"Queens",1.29187341326551,0.00234592764473243,301,"3","5",1.69862066002858,300,"3","5",1.98690931238208,601,"3","5",1.84252514539639
"SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS","6","NYC",0.014978700407244,0.0204114758755022,0.308336721518392,0.000819202230575298,"Manhattan",0.295846579438416,0.00308150362673986,187,"3","4",2.37249771026234,185,"3","4",2.90125747483016,372,"3","4",2.63545619532967
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","14","NYC",0.413815146423115,0.0167052916183855,0.38586743847432,0.000563506902145235,"Brooklyn",0.327882214910816,0.00112719003902814,125,"3","4",2.21939976724081,79,"3","3",2.30044538514211,204,"3","4",2.25078508005553
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","7","NYC",0.18400009491358,0.0219607843137255,0.318979437094208,0.000957636007113867,"Bronx",0.210325658044158,0.00277076186526935,298,"3","6",1.87329939696923,299,"3","6",2.49337140566783,597,"3","6",2.1838547246089
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","9","NYC",0.229494652763495,0.0204297287777386,0.391670654666586,0.00122798902953037,"Bronx",0.292090194442648,0.00355298375240321,461,"3","8",1.85241566384855,409,"3","7",2.70573579628877,870,"3","8",2.2535742088693
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","8","NYC",0.256304361930434,0.0209078675288017,0.333071834438938,0.00103743900770669,"Bronx",0.208349871621479,0.00300165868737513,348,"3","6",1.59277598003425,350,"3","6",2.05254928661175,698,"3","6",1.82332133433529
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","15","NYC",0.06259120295633,0.0100310269000211,0.0959663804587868,0.00054233467749816,"Brooklyn",0.0857924264775023,0.0010848389681976,131,"3","4",2.4129673298445,130,"3","4",2.7509646886016,261,"3","4",2.58131850470436
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","17","NYC",0.0500100510425332,0.025121620543903,0.86411892096692,0.00102603857905057,"Brooklyn",0.649448220897196,0.00205239804794141,359,"3","6",1.77191249148719,358,"3","6",2.66054335281303,717,"3","6",2.215608235357
"SUCCESS ACADEMY CHARTER SCHOOL-FAR ROCKAWAY","27","NYC",0.626097405887182,0.00933571887329113,0.567742982757928,0.000662853494719973,"Queens",0.907780391977269,0.00148490287932519,82,"3","3",1.23104530068771,82,"3","3",1.67305118919426,164,"3","3",1.45204824494099
"SUCCESS ACADEMY CHARTER SCHOOL-FLATBUSH","17","NYC",0.0586609159289003,0.0134380732115799,0.908035770512227,0.000548849208158798,"Brooklyn",0.668566634685852,0.00109787006691469,47,"3","3",2.35017739222199,47,"3","3",2.92783958108996,94,"3","3",2.63900848665598
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","13","NYC",0.255331343654642,0.0110386161899704,0.334161716021123,0.000473932105561455,"Brooklyn",0.273267802459727,0.000948012431668176,111,"3","4",2.09269407296392,110,"3","4",2.38591165654236,221,"3","4",2.238639476555
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","3","NYC",0.61922424292486,0.0471327269924464,0.546501371380543,0.00199181774949024,"Manhattan",0.672870149776384,0.00749240345030386,464,"3","8",1.62045955288466,415,"3","7",2.46597160633188,879,"3","8",2.01964897516065
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","5","NYC",0.0343294683298778,0.0345164282575795,0.410977594298523,0.00115144329426786,"Manhattan",0.505150917849955,0.00433125857674966,393,"3","8",1.76444265266121,311,"3","7",2.4902519543456,704,"3","8",2.08507715951326
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3","4","NYC",0.253035178697402,0.0620631814369583,0.414100155460734,0.0018077822583272,"Manhattan",0.522627192424627,0.00680013722799451,625,"3","8",1.94804766127329,515,"3","7",2.90308133382827,1140,"3","8",2.37948831159418
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4","3","NYC",0.318667852877028,0.0163789116694928,0.249624123869589,0.000692168882692846,"Manhattan",0.307878773783489,0.00260365614585375,155,"3","4",2.05738439865745,155,"3","4",3.06932919545786,310,"3","4",2.56335679705765
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5","5","NYC",0.0401496040646825,0.0364204462236977,0.434914879098588,0.00121495996820909,"Manhattan",0.525688418306514,0.00457018231719271,464,"3","8",1.86177840194026,429,"3","7",2.75251833496882,893,"3","8",2.28969265868075
"SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN","2","NYC",0.0576591516481544,0.00740242261103634,0.0218513168695692,0.000752428291303753,"Manhattan",0.0173652071358439,0.0028303273867869,172,"3","4",2.22760988273772,171,"3","4",2.79278086135243,343,"3","4",2.50937150764476
"SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS","17","NYC",0.0112627455941155,0.0250817449557381,0.524645447606261,0.00102440994638541,"Brooklyn",0.360995044811466,0.00204914027326214,349,"3","7",1.93772885064043,349,"3","7",2.63424157432665,698,"3","7",2.28598521248354
"SUCCESS ACADEMY CHARTER SCHOOL-SOUTH JAMAICA","27","NYC",0.384198334519331,0.0070878062207542,0.402901042554734,0.000503247493534328,"Queens",0.604242584103913,0.00112735869707981,51,"3","3",1.79061134645485,52,"3","3",2.30044538514211,103,"3","3",2.04800328831638
"SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE","2","NYC",0.0190905910193601,0.0115362430301865,0.107395084217599,0.00117261551891494,"Manhattan",0.0806947582656859,0.00441089982356401,433,"3","7",2.3060087495796,428,"3","7",3.12442782903811,861,"3","7",2.71284192728952
"SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST","3","NYC",0.0306838678486334,0.0304455063974102,0.0596987334353478,0.00128661980547611,"Manhattan",0.0258779475569892,0.00483973730641051,482,"3","8",2.35681507209782,455,"3","7",3.01046667631378,937,"3","8",2.67422326838198
"SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG","14","NYC",0.00785872289824559,0.0209540363074546,0.0574216182597483,0.000706826576679283,"Brooklyn",0.203534715726957,0.00141387421080408,134,"3","4",2.1618822232233,135,"3","4",2.75710951929527,269,"3","4",2.46060224169808
"ELMWOOD VILLAGE CHARTER - HERTEL","BCSD","Erie",0.0979528762028467,0.00520846829571662,0.243542937024076,0.00165043601070731,NA,NA,NA,50,"3","3",-0.111913209153428,50,"3","3",-0.313697097973925,100,"3","3",-0.212805153563676
"ELMWOOD VILLAGE CHARTER SCHOOL","BCSD","Erie",0.285288555380917,0.0116348371381928,0.114883724929404,0.00368679486968946,NA,NA,NA,285,"3","8",0.250591247617327,285,"3","8",0.425479872034316,570,"3","8",0.338035559825822
"GENESEE COMMUNITY CHARTER SCHOOL","RCSD","Monroe",0.87995699292344,0.00710839498230942,0.0324740206389678,0.00210678843458946,NA,NA,NA,105,"3","6",0.655931776225141,107,"3","6",0.690107392131109,212,"3","6",0.673180789913531
